titulo,link,contenido 
"Condenan a 55 años de cárcel al exgobernador 'Kiko' Gómez","http://www.eltiempo.com/politica/justicia/condenan-a-55-anos-de-carcel-a-kiko-gomez/16793686","<div id='contenido' itemprop='articleBody'>
                        <p>El juez octavo especializado de Bogotá condenó este lunes al exgobernador de La Guajira, <a class='linkdenota linkdenota linkdenota linkdenota linkdenota' href='http://www.eltiempo.com/noticias/kiko-gomez' target='_blank'>Juan Francisco 'Kiko' Gómez</a>, a 55 años de cárcel.</p>
<p>Gómez, capturado en octubre del 2013, fue encontrado culpable de los delitos de homicidio agravado, tentativa de homicidio y tráfico, fabricación y porte de armas.</p>
<p><strong>Las víctimas de Gómez fueron la dirigente política Yandra Brito, su esposo Henry Ustáriz y el conductor Wilfredo Fonseca. </strong>Los hechos se registraron el 2 de abril de 2008 en la vía que comunica a los municipios de Fonseca y Barranca, en el departamento de la Guajira.</p>
<p>El juez también lo inhabilitó por 20 años para ejercer cargos públicos y no concedió la prisión domiciliaria.</p>
<p>En la decisión, el juez consideró que la Fiscalía demostró en el juicio que hubo una clara relación entre el señalado narcotraficante 'Marquitos Figueroa' y el exmandatario, y que fueron hombres de Figueroa los que perpetraron los homicidios.</p>
<p>Durante el juicio, la Fiscalía aseguró: '<strong>Los sicarios o autores intelectuales de los hechos no tenían motivo alguno para quitarle la vida a la exalcaldesa</strong>, lo que hace inferir que fueron enviados por algún enemigo político, si se tiene en cuenta la época compleja y convulsionada política que vivía la región en el 2008'. Y agregó: 'Es reprochable que el dos veces alcalde y luego gobernador destacado y reconocido en La Guajira y a nivel nacional por su investidura y trabajo tuviera un comportamiento totalmente diferente al que demostró con estos crímenes'.</p>
<p>JUSTICIA</p>                    </div>"
"Las fotos más espectaculares tomadas con drones","http://www.eltiempo.com/multimedia/fotos/internacional17/fotos-con-drones/16791971","None"
"La parodia de Alec Baldwin saca de casillas a Donald Trump","http://www.eltiempo.com/entretenimiento/cine-y-tv/alec-baldwin-imita-a-donald-trump/16793520","<div id='contenido' itemprop='articleBody'>
                        <p>Baldwin reveló la semana pasada que está negociando ampliar sus imitaciones más allá de ese popular programa de televisión de NBC.</p>
<p>Desde que empezaron los debates para las elecciones presidenciales de Estados Unidos del año pasado, el actor y comediante Alec Baldwin comenzó a sonar por su caricaturización de <a class='linkdenota' href='http://www.eltiempo.com/noticias/donald-trump' target='_blank'>Donald Trump</a> en el programa 'Saturday Night Live' (SNL). </p>
<p>El magante ha mostrado su malestar por esa imitación en varias ocasiones.<strong> La más reciente fue la del pasado sábado, en la que Baldwin representaba a un Trump que daba su primera conferencia de prensa como presidente electo.</strong></p>
<p>“Quiere responder la pregunta que todos están pensando: sí, esto es la vida real, realmente está pasando. El 20 de enero, yo, Donald J. Trump, me convertiré en el presidente 45 de Estados Unidos, y dos meses después, Mike Pence será el 46”, bromeó Baldwin en su interpretación.</p>
<p>Como es su costumbre, Trump recurrió a su cuenta en la red social Twitter para responder: ''NBC News' es malo pero 'Saturday Night Live' es lo peor de NBC. No es gracioso, el elenco es terrible, siempre es una completa estafa. Realmente mala televisión'.</p>
<p>A pesar de las protestas del presidente elenco, la caracterización de Baldwin ha alcanzado altos niveles de popularidad, al punto de que el actor ya está considerando expandirla a otros campos.</p>
<p><strong>'Voy a hacer ('Saturday Night Live') tanto como pueda y existen diálogos sobre otros lugares en los que podríamos seguir para expresar nuestra gratitud y admiración por el Gobierno de Trump'</strong>, dijo, con ironía, Baldwin en una entrevista con ABC.</p>
<p>Trump, por su parte, ha enfatizado que la parodia 'apesta'.</p>
<p>'Vi el ataque premeditado de 'Saturday Night Live' contra mí. Es hora de retirar este programa aburrido y sin gracia', dijo Trump semanas antes de las elecciones, cuando acusaba a los medios de 'amañar' los comicios.</p>
<p>Baldwin, ganador de dos premios Emmy y tres Globos de Oro, no reveló los programas con los que está negociando interpretar la imitación de Trump.</p>
<p><strong>El actor explicó en la entrevista que para crear la parodia 'tan solo' se sienta y le 'echa un vistazo' a Twitter y a las noticias.</strong></p>
<p>'Probablemente deberíamos, de acuerdo con el Sindicato de Guionistas de Estados Unidos, darle crédito a Trump por todo lo que ha hecho por nosotros', ironizó de nuevo el actor y comediante.</p>
<p>Con EFE</p>                    </div>"
"Asaltantes grabados en video en Medellín están en libertad","http://www.eltiempo.com/colombia/medellin/asaltantes-en-moto-que-quedaron-en-video-estan-libres/16793675","<div id='contenido' itemprop='articleBody'>
                        <p>El alcalde de la ciudad, Federico Gutiérrez, comentó que los asaltantes fueron puestos a disposición de las autoridades judiciales al momento de su captura, pero que<strong> la medida carcelaria se daría después de que terminen las audiencia, citadas para este lunes y el martes.</strong></p>
<p>(Lea también: <a class='linkdenota linkdenota linkdenota linkdenota linkdenota linkdenota linkdenota linkdenota linkdenota linkdenota' href='http://www.eltiempo.com/colombia/medellin/motos-captadas-en-video-realizando-atraco/16792477' target='_blank'>Capturados los presuntos atracadores en moto grabados en video</a>)<strong><br/></strong></p>
<p>'Yo lo que tengo que decir es que la Fiscalía nos ha apoyado mucho, pero como el caso no fue en flagrancia, los llamaron a indagatoria, una hoy y otra mañana (lunes y martes), pero a través de Policía y Sijín estamos encima de estas personas', comentó el mandatario.</p>
<p><strong>Uno de los asaltantes ya tenía una medida de aseguramiento en prisión domiciliaria, </strong>el secretario de seguridad de Medellín, Gustavo Villegas, dijo que para alias 'Kevin' se expidió orden de captura en la noche de ayer y <strong>esta mañana fue recapturado y puesto a disposición de las autoridades.  </strong></p>
<p>'También presentamos la medida ante el juez para que derogue la casa por cárcel y se vaya a una cárcel de verdad', agregó Federico Gutiérrez.</p>
<p>Villegas dijo que <strong>se espera que en la tarde de hoy se expidan las dos órdenes de captura para los otros hombres que participaron en el robo.<br/></strong></p>
<p>El Alcalde comentó que el menor de edad que también había sido capturado por el hecho<strong> fue puesto a disposición de las autoridades, pero 'la ley define otro tipo de tratamiento para él'.</strong></p>
<p>Por último, Gutiérrez hizo un llamado para que las autoridades y la Administración municipal trabajen juntas: 'No es nosotros cogiendo y que después se vayan para la calle, <strong>estoy seguro de que en la audiencia, que ya fue citada para hoy y mañana de parte de la Fiscalía, estas personas queden tras las rejas'.</strong></p>
<p>(También le puede interesar: <a class='linkdenota linkdenota linkdenota linkdenota linkdenota linkdenota linkdenota linkdenota linkdenota linkdenota' href='http://www.eltiempo.com/colombia/medellin/alarma-en-medellin-por-asaltos-en-motos/16793352' target='_blank'>Las bandas de hurto que azotan Medellín</a>)<strong><br/></strong></p>
<p>MEDELLÍN</p>                    </div>"
"Falcao, el mejor atacante colombiano de la temporada","http://www.eltiempo.com/deportes/futbol/rendimiento-de-falcao-en-temporada-con-el-monaco/16793546","<div id='contenido' itemprop='articleBody'>
                        <p><a class='linkdenota linkdenota' href='http://www.eltiempo.com/noticias/radamel-falcao-garcia' target='_blank'>Falcao García</a> está en plena recuperación de su nivel futbolístico. Está volviendo a ser el goleador que mejor se le conoció, el que no pudo ser en su paso por Inglaterra. En esta temporada 2016-2017 el ‘Tigre’ ya lleva 12 goles en 14 partidos de Liga de Francia con el Mónaco. <strong>Pero además anotó 4 tantos en la Liga de Campeones y otro en la Copa de Francia, lo que lo posiciona con 17 tantos en 21 partidos.</strong><br/><br/>Su gol más reciente fue el pasado domingo, en el triunfo del Mónaco frente al Marsella (1-4). Falcao es el tercer goleador de la liga francesa, detrás de Canani (18) y Lacazette (15).<br/><br/><strong>Entre los delanteros habituales de la Selección Colombia, Falcao sigue siendo el de mejores números, por encima de Bacca, Teo, Muriel, Borja.</strong></p>
<p>(Además: <a class='linkdenota linkdenota' href='http://www.eltiempo.com/deportes/futbol/falcao-anoto-un-gol-en-la-victoria-de-monaco-1-4-contra-el-marsella/16793193' target='_blank'>Falcao anotó un gol en la victoria de Mónaco 1-4 contra el Marsella</a>)</p>
<p>Carlos Bacca ha anotado esta temporada en el Milán 7 tantos en 15 partidos. Es decir, menos de la mitad en relación al ‘Tigre’. Hasta hace poco Bacca era el mejor goleador colombiano a nivel internacional, pero su frecuencia anotadora ha bajado ostensiblemente. En la temporada anterior, por ejemplo, hizo 18 goles en el Calcio italiano. Ahora, en la mitad del curso, está por debajo de su anterior promedio.</p>
<p><strong>Falcao también lleva más que Luis Fernando Muriel, el delantero de la Sampdoria, quien lleva en esta temporada 8 goles en 22 partidos jugados (6 en Liga y 2 en Copa).</strong><br/><br/>Por su parte, Adrián Ramos, un intermitente entre los convocados a la Selección, lleva 3 goles en 10 partidos con el Borussia Dortmund alemán, en la temporada actual. <br/><br/><strong>Teófilo Gutiérrez, quien no estuvo en las últimas convocatorias de la Selección, solo hizo un gol en el segundo semestre del 2016, en 10 partidos jugados con Rosario Central.</strong><br/><br/>El que mantuvo cifras altas de gol durante el segundo semestre del 2016 fue Miguel Borja, quien apenas ha estado en una convocatoria de la Selección. Borja anotó con Atlético Nacional, entre junio y diciembre, 12 goles en las diferentes competiciones que tuvo el cuadro verdolaga.</p>
<p>Ni hablar de Jackson Martínez, que no volvió a la selección, y ha hecho solo 4 goles desde que llegó al Guangzhou Evergrande de China. Caso contrario a Roger Martínez, presente en las últimas convocatorias de Colombia y quien hizo 10 tantos en el Jiangsu Suning chino, en la última temporada.</p>
<p><strong>Los próximos partidos de eliminatoria para la Selección Colombia serán en marzo, contra Bolivia y Ecuador.</strong></p>
<p>DEPORTES</p>                    </div>"
"Murió Gene Cernan, el último hombre que pisó la Luna","http://www.eltiempo.com/estilo-de-vida/ciencia/murio-gene-cernan-ultimo-hombre-que-piso-la-luna/16793839","<div id='contenido' itemprop='articleBody'>
                        <p>El astronauta estadounidense Eugene Cernan, <strong>el último hombre en pisar la Luna, falleció, este lunes, a los 82 años, según anunció la Agencia Espacial Estadounidense (Nasa).</strong></p>
<p><strong>Cernan fue, en diciembre de 1972, el comandante de la misión Apolo 17, la última misión lunar y uno de los vuelos finales del programa de exploración del satelite natural terrestre.</strong> Cuando Cernan salió del módulo lunar 'Challenger' se convirtió en la undécima persona en caminar sobre la Luna; el piloto del módulo lunar, Jack Schmitt, fue el duodécimo.</p>
<p><strong>Como comandante, Cernan fue el último en volver a entrar en el módulo lunar, dándole la designación de ser la última persona en caminar sobre la superficie lunar. </strong>Sus palabras no llegarían a ser tan famosas como la primera frase de Neil Armstrong pronunciada desde la Luna, sin embargo, el último adiós de Cernan fue casi tan poético. 'El desafío de Estados Unidos de hoy ha forjado el destino del hombre del mañana', dijo Cernan.</p>
<p>La historia del último aterrizaje lunar dirigido por él ha sido recogida en el documental 'The Last Man on the Moon', 'El último hombre en la luna', de 2007, donde <strong>el astronauta explica las sensaciones extraordinarias que experimentó mientras pisaba aquella superficie incomparable.</strong></p>
<p>Cernan había servido anteriormente como el piloto del módulo lunar del Apolo 10 y fue piloto en la misión de Gemini IX. <strong>En el vuelo de Apolo 10, Cernan y el comandante Tom Stafford volaron casi 13 kilómetros sobre la superficie de la Luna, lo que sirvió como 'ensayo general' para la histórica misión Apolo 11 dos meses más tarde.</strong></p>
<p><strong>El astronauta acumuló 566 horas y 15 minutos en el espacio,</strong> de los cuales 73 horas transcurrieron en la superficie de la Luna, según la Nasa.</p>
<p>Nacido en Chicago, en 1934, se licenció en Ingeniería Eléctrica y obtuvo un máster en Ciencias de Ingeniería Aeronáutica de la Escuela Naval de Postgrado de Estados Unidos. <strong>Fue capitán de la Armada y seleccionado en el tercer grupo de astronautas de la Nasa en 1963.</strong></p>
<p>Se retiró de la Nasa y la Marina en 1976; tras su muerte <strong>solo quedan otros seis astronautas vivos que hayan caminado sobre la Luna.  </strong></p>
<p>EFE<strong><br/></strong></p>                    </div>"
"Las deudas de Obama a pocos días de dejar el mando","http://www.eltiempo.com/mundo/ee-uu-y-canada/balance-del-gobierno-obama/16793801","<div id='contenido' itemprop='articleBody'>
                        <p>Toda despedida tiene algo de melancólico y la de Barack Obama no podía ser la excepción.</p>
<p>En su discurso de despedida en Chicago había algo más que un adiós, se percibía en el Presidente y sus seguidores la tristeza de saber que la llegada de Donald Trump a la Casa Blanca anuncia el fin de una herencia efímera: los senadores republicanos han empezado el desmonte del Obamacare, se desharán los compromisos frente al cambio climático, se advierte el fin de las medidas pro-inmigración –ya pasó con los cubanos–, entre otros.</p>
<p>Aunque terminó su intervención sumando un “yes, we did” (“si, lo hicimos”), a su tradicional “yes, we can”, no puede decirse que su legado fue el que se esperaba en 2008 cuando el joven senador de Illinois prometía un nuevo mundo en medio del fervor de las masas. En el balance de los ocho de su mandato, Obama dejó muchas sombras.</p>
<p>Un día después de su discurso <strong>se cumplieron 15 años de la apertura de la cárcel de Guantánamo que el demócrata prometió cerrar.</strong> Habló en Chicago del trabajo que se realizó para acabar con el centro penitenciario, pero es un fracaso que tras 8 años en el poder no haya podido cumplir.</p>
<p>En este y otros temas Obama se excusa en la oposición republicana que controla el Congreso, pero los avances tampoco se vieron cuando <strong>su partido tuvo la “súper mayoría”, antes de que el Tea Party le arrebatara la silla del difunto Ted Kennedy.</strong></p>
<p>En política exterior tampoco se vio lo que se esperaba. El historiador británico Niall Ferguson habla de una “revolución” distinta a la anhelada, que consistió en convertir a los enemigos en amigos -como ocurrió con las concesiones a Cuba y el acuerdo nuclear con Irán- mientras los aliados tradicionales como Israel quedaron aislados. Para Ferguson se trata de una estrategia fracasada como lo demuestra la situación de Medio Oriente.</p>
<p>Y si Obama no satisface a la derecha por su política blanda que contrasta con un poderoso Vladimir Putin, <strong>en la izquierda le reprochan que durante sus dos periodos autorizó acciones militares en Libia, Pakistán, Somalia, Yemen y Siria, además de Irak y Afganistán.</strong></p>
<p>Aunque en su discurso de despedida habló de un orden basado en principios y no el poder militar, esas operaciones -que Mark Lander llamó en el New York Times “el legado inesperado”- están lejos de lo que <strong>se imaginaban en Oslo cuando le regalaron el Nobel de Paz sin que hubiera empezado su gestión.</strong></p>
<p>En materia económica y social hay datos a favor y en contra. La reducción del desempleo es significativa, así como el incremento del número de personas afiliadas al sistema de salud, pero según las cifras del Census Bureau no hay avances significativos en reducción de la pobreza ni en el incremento de los ingresos de los hogares.</p>
<p>Adicionalmente, <strong>la deuda pública casi se ha duplicado como consecuencia de una política fiscal irresponsable</strong> que ha enfrentado al presidente con los conservadores.</p>
<p>Esas decepciones y otras promesas incumplidas no son resultado de un funcionario especialmente incompetente, es consecuencia de que el presidente de EE.UU no es un monarca absoluto, su poder está limitado por unas instituciones sólidas, una oposición robusta, una sociedad civil fuerte y una prensa libre. Los gobiernos de turno no pueden transformar al país ni al mundo. Lo mismo le espera a Donald Trump, por lo que no es previsible que saque adelante toda la agenda que ha anunciado en campaña.</p>
<p>Obama será ahora el referente del Partido Demócrata en reemplazo de un Bill Clinton septuagenario y derrotado. Su rol de expresidente será especialmente importante en una transición tan fuerte como la del próximo 20 de enero.</p>
<p>En Chicago sus referencias a Trump fueron cordiales, <strong>quiso evitar los abucheos del público ante la mención del nuevo presidente, evadió los alarmismos y mostró disposición a colaborar.</strong> Obama no desaparece de la política, será aún la voz más escuchada de su partido en los grandes desafíos que vienen para los demócratas.</p>
<p> </p>
<p>CRISTIAN ROJAS</p>
<p>PROFESOR DE CIENCIAS POLÍTICAS</p>
<p>UNIVERSIDAD DE LA SABANA</p>                    </div>"
"Con un gol de Carlos Bacca, Milán empató 2-2 frente a Torino","http://www.eltiempo.com/deportes/futbol/milan-empato-2-2-frente-a-torino/16793861","<div id='contenido' itemprop='articleBody'>
                        <p>Milán empató 2-2 este lunes en el campo del Torino, en un partido en el que los 'rossoneri' lograron remontar dos goles de desventaja gracias a las dianas de Andrea Bertolacci y del colombiano <a class='linkdenota' href='http://www.eltiempo.com/noticias/carlos-bacca' target='_blank'>Carlos Bacca</a>, que anotó de penalti.</p>
<p>El conjunto milanés logró evitar la derrota con una buena reacción en la segunda mitad del encuentro pero perdió dos puntos con respecto al Nápoles, tercero, y al Lazio, cuarto, que ganaron este domingo sus respectivos encuentros.</p>
<p><strong>El Milán, cuyo objetivo en esta campaña es pelear por la Liga de Campeones, está ahora a tres puntos del Lazio y a cuatro del Nápoles.</strong></p>
<p>El Torino disputó una primera mitad de gran intensidad, en la que logró marcar dos goles y en la que desaprovechó la pena máxima que hubiera supuesto el tercer tanto con el serbio Adem Ljajic.</p>
<p>El internacional italiano Andrea Belotti adelantó al conjunto 'granata' en el minuto 21 y celebró du decimocuarta diana en esta edición de la Serie A. <strong>Cinco minutos después, el medio Marco Benassi firmó el 2-0 ante un Milán que no lograba salir de su mitad de campo.</strong></p>
<p>Sin embargo, el Torino tuvo la oportunidad de dar un golpe casi definitivo al encuentro en el 31 pero el portero milanista Gianluigi Donnarumma logró parar un penalti a Ljajic, dejando opciones a su equipo.</p>
<p>Tras la complicada primera mitad, el Milán saltó al campo con más agresividad en la reanudación y logró remontar en el espacio de cinco minutos, gracias a los goles de Andrea Bertolacci (m.55) y de Carlos Bacca, que transformó con seguridad un penalti (m.60).</p>
<p><strong>Con el empate a dos, ambos conjuntos mantuvieron el ritmo muy alto y atacaron hasta el final para hacerse con los tres puntos.</strong> Belotti tuvo la mejor oportunidad y rozó el gol para el Torino con una gran volea tras un centro de Ljajic.</p>
<p>En los últimos minutos, el Milan se quedó con diez por la doble amonestación al defensa Alessio Romagnoli aunque eso no le impidió salir con un empate del estadio Olímpico turinés. Con este resultado, el Milan se queda quinto, con 37 puntos, mientras que el Torino se sitúa noveno, con 30.</p>
<p>EFE</p>                    </div>"
"Grandes marcas apoyan reciclaje del 70% de envases de plástico ","http://www.eltiempo.com/estilo-de-vida/ciencia/grandes-marcas-apoyan-reciclaje-de-envases-de-plastico/16793826","<div id='contenido' itemprop='articleBody'>
                        <p><strong> Más de 40 líderes industriales decidieron apoyar un plan de acción global para reciclar el 70 por ciento</strong> de los envases de plástico y reducir así los desechos de esta materia, informó este lunes el Foro Económico Mundial.<br/><br/>Los consejero delegados y directivos de <strong>Unilever, Danone, Mars, Coca-Cola, Pepsi, Carrefour, Procter &amp; Gamble, Suez o Dow Chemical, pero también las ciudades de Nueva York y Phoenix (Arizona)</strong> en EE.UU. se han sumado a esta iniciativa recogida en el informe 'La Economía nueva de los plásticos' del Foro Económico Mundial de Davos y la Fundación Ellen MacArthur, que promueve la economía circular. (Lea también: <a class='linkdenota' href='http://www.eltiempo.com/estilo-de-vida/ciencia/donde-no-pedir-bolsa-plastica/16784610' target='_blank'>En tiendas de barrio y droguerías no pida la bolsa plástica</a>)<br/><br/>El plan vería las tasas globales de reciclaje de envases o envoltorios de plástico en la producción, el uso y la fase posterior al consumo aumentar desde el 14 por ciento actual hasta el 70 por ciento.<br/><br/>El Foro destaca la importancia de esta iniciativa, entre otros motivos <strong>para 'evitar la posibilidad de que haya más plástico en peso que peces en el océano en 2050' si no se toman medidas inmediatas.</strong><br/><br/>El informe aporta a la industria una estrategia para diseñar mejor los envases y aumentar los porcentajes de reciclaje. Indica que <strong>el 20 por ciento de los envoltorios de plástico podría ser reutilizados con medidas sencillas, pero eficaces.</strong><br/><br/>Se puede sustituir las bolsas de usar y tirar de los supermercados con alternativas reutilizables o diseñar envases innovadores para que puedan ser rellenados una y otra vez.<br/><br/>Otro 50 por ciento de los envases de plástico podría ser reciclado si se acometiesen mejoras al diseño de los envoltorios y los sistemas de gestión posterior a su uso, alega el informe.<br/><br/>'Sin un rediseño fundamental y sin innovación, <strong>el restante 30 por ciento de envases de plástico en peso nunca será reciclado y el equivalente de 10.000 millones de bolsas de basura</strong> al año acabará en vertederos o plantas de incineración', recalca el informe.<br/><br/>El plan forma parte de la iniciativa 'La Economía nueva de los plásticos' que fue lanzada en mayo pasado como resultado de un proyecto de la industria, el Foro Económico Mundial y la Fundación Ellen MacArthur, creada en 2010 para acelerar la transición a la economía circular.<br/><br/>La iniciativa une por primera vez a todo el sector de la industria del plástico: desde fabricantes químicos, productores de envases, comercios minoristas, autoridades locales y empresas y organizaciones dedicadas al reciclaje.<br/><br/>Para el responsable de las iniciativas público-privadas y miembro del Comité Ejecutivo del Foro Económico Mundial, Dominic Waughray, el 'plan pone a la innovación en el centro de una estrategia que podría transformar el sistema entero y desbloquear miles de millones en oportunidades de negocio'.<br/><br/><strong>La iniciativa lanzará dos desafíos globales de innovación para lanzar el rediseño de materiales y formatos de embalaje, así como para comenzar a crear una serie de estándares comunes.</strong><br/><br/>'Cambios menores en materiales, formatos y tratamientos, en su conjunto pueden hacer la economía del reciclaje viable y llevarnos a una espiral de mayores rendimientos, menores costes y mejores diseños', señaló por su parte Martin Stuchtey, profesor de la Universidad de Innsbruck.<br/><br/>'El resultado será un plástico que siga siendo un material valioso antes y después de su uso', recalcó. </p>
<p>VIDA</p>                    </div>"
"Trabajadores de TransMilenio solo pueden llamar atención a colados","http://www.eltiempo.com/bogota/leonardo-licht-y-sus-funciones-como-trabajador-de-transmilenio/16793573","<div id='contenido' itemprop='articleBody'>
                        <p>A Leonardo Licht pedirle a un hombre que se había colado en la estación Jiménez de TransMilenio le costó su vida, en un nuevo hecho de intolerancia que llena de luto a la ciudad.</p>
<p>Este es el caso más grave al que se ha tenido que enfrentar un empleado de Recaudo Bogotá, empresa que se encarga de la recaudación del SITP, y que tiene indignada a la comunidad.</p>
<p>El joven, oriundo del municipio de Pacho (Cundinamarca), convivía con una compañera sentimental en un barrio de la localidad de Usme y este domingo había llegado a la estación Jiménez a las 5 de la mañana, hora cuando se inició la  operación del sistema.</p>
<p>(También: <a href='http://www.eltiempo.com/bogota/asesinan-a-joven-en-transmilenio-tras-detener-a-un-colado/16793400' target='_blank'>Indignación por joven asesinado en TransMilenio</a>)</p>
<p>Sin embargo, el de Leonardo Licht, de 22 años de edad y que comenzaría sus estudios universitarios, aunque es el más grave no es la única situación que ha puesto en peligro a uno de estos operarios. <strong>La empresa manifestó que durante el 2016 hubo 210 acciones agresivas contra sus empleados.</strong></p>
<p>Javier Cancela, presidente de Recaudo Bogotá, explicó que las agresiones a los operarios son comunes y que, en ocasiones, <strong>solo basta con llamar la atención sobre el pago del transporte,</strong> para que la persona que se cuela reaccione con improperios en contra del funcionario.</p>
<p>Incluso, lamentó Cancela, han ocurrido situaciones donde <strong>son agredidos con puños, empujones y bofetadas</strong>. Motivo por el que la orden es evitar conflictos.</p>
<p>Leonardo Licht al momento del brutal ataque en su contra realizaba su turno en Información y control, cargo en el que una de sus funciones era llamar la atención a quienes se cuelan en el sistema y guiar a los usuarios sobre las preguntas respecto a las rutas que les pueden servir.</p>
<p>De otro lado, Cancela mostró su preocupación por el poco acompañamiento policial que hay en las estaciones de TransMilenio.</p>
<p>Para el funcionario, <strong>no hay la cobertura policial suficiente.</strong> Indicó que a este déficit de policías se suma que el personal que está no es el adecuado, debido a que un gran porcentaje de quienes prestan el servicio de seguridad en esos lugares son policías bachilleres y no tienen la suficiente preparación para enfrentar circunstancias como la que pasó con Leonardo Licht.</p>
<p>En cuanto al perfil de las personas que trabajan en este cargo, Cancela manifestó que son en su mayoría jóvenes humildes, como Licht, con estudios de bachillerato y que van a comenzar sus estudios universitarios.</p>
<p>El joven llevaba trabajando para Recaudo Bogotá alrededor de un año y sus compañeros lo recuerdan por ser una persona honesta y educada. <strong>Este mes comenzaría un nuevo proyecto, pues estaba listo para iniciar sus estudios de  administración de empresas en el SENA.</strong></p>
<p>Este lunes en la estación Jiménez, lugar donde fue asesinado, se realizó un homenaje por parte de amigos del joven y trabajadores del sistema. <strong>Los articulados de TransMilenio se unieron con una ‘pitatón’.</strong></p>
<p>ELTIEMPO.COM</p>                    </div>"
